instance_id,id,user.id,created_at,text
65,1075205618623893504,877432405014888449,Wed Dec 19 01:46:10 +0000 2018,"""අපෙ ගෙවල් පැත්ත අරාබිය වගෙ උනාට මෙ ලගදි දවසක රුවැති යුවැතියක් පැමිනියා  අම්මො අම්මො"""
66,1075193453183676416,1685141124,Wed Dec 19 00:57:50 +0000 2018,"""ජිම් යන එකට් එපා වෙලා තියෙන්නෙ කිලෝ දෙකක් වැඩි උනොත් ඊලග සතියෙ කිලෝ තුනක් අඩු වෙනවා😑"""
67,1075166071823499265,2995187646,Tue Dec 18 23:09:01 +0000 2018,"""අපිට සෙට් උනොත් සෙට් වෙන්නෙ කැරිම නඩුවක්😂නැත්තන් කැරිම බඩුවක්😂🤘 — feeling ���"""
68,1075131327010074624,4867064842,Tue Dec 18 20:50:57 +0000 2018,"""ලෝගන් කෝ සුඛියා කෝ අරූ කෝ මු කෝ කියලා අහන උන් තමා කවදාහරි බැන්ඳ දවසක ගෑණි කෝ කියලා හොයන්නේ 🙄"""
69,1075129774782083073,166556379,Tue Dec 18 20:44:47 +0000 2018,"""හොයලා හොයලා කොල්ලෙක් හොයා ගන්නම බැරි උනොත් මම හම්සව බදිනවා"""
70,1075129710147969025,343755137,Tue Dec 18 20:44:32 +0000 2018,"""හොයලා හොයලා කොල්ලෙක් හොයා ගන්නම බැරි උනොත් මම හම්සව බදිනවා"""
71,1075121878270861312,395035548,Tue Dec 18 20:13:25 +0000 2018,"""දත් දොස්තර කෝ?? මගෙ වෙඩිමට පරක්කු වෙනවා."""
72,1075119614969864192,137992580,Tue Dec 18 20:04:25 +0000 2018,"""බීලා මාට්ටු උනොත් වල් අලි ගහනවා යකෝ. 😂"""
73,1075114065222098944,1685742714,Tue Dec 18 19:42:22 +0000 2018,"""උඹල මෙහෙම සබ් ගහනවා කියලා දන්නවනම් මම දවසක් පරක්කු⁣ වෙලා ඉපදෙනවා..  - මීට චෙත්‍යා"""
74,1075967724428222464,199129412,Fri Dec 21 04:14:30 +0000 2018,"""@maalupaan මම සැක කලා.   ඒ දරුවා මුල සිටම මං ගැන අමනාපෙන් හිටියේ. ඉතින් මමත් ඒ වගේ අය පැත්තකට කරලා නොසොයා හිටියේ. ඒකයි එක පාර මතක නැති උනේ.  හැබැයි එයාගේ බුදු ෆිට් ලිස්ට් එකේ ඔයත් හිටියද? කීයටවත් වෙන්න බෑ"""
75,1075926385410146305,2496331741,Fri Dec 21 01:30:14 +0000 2018,"""ඉරාකය, ඇෆ්ගනිස්ථානය, පකිස්ථානය, සිරියාව, ලිබියාව සහ තවත් රටවල් වල ලමයි ජනතාව මරනව live බලව් හිටපු ඔබාමා නියම පාලකයෙක්ලු..  Check out @childrenshealth’s Tweet: https://t.co/OfiBKLXBGT"""
76,1075915567251353600,1854407280,Fri Dec 21 00:47:15 +0000 2018,"""සිංගප්පූරුව දියුණු කරපු මිනිහා වැඩ පටං ගත්තේ මෙන්න මෙහෙමයි.. ඒයා ලඟ තිබුනේ කාරණා තුනයි.. උවමනාව, කැපවීම සහ හැකියාව..   රටවල් දියුණු කරන්න දේශපාලන experience අනිවාර්ය නෑ.. #lka #GR2020 https://t.co/v9U3oyNbPs"""
